✓ 收到  workloadf  [process_num_70] 2025-04-18_21-01-09---workloadf  818,383.28 ops/s  AvgPwr: 1030.55 W, StartPwr: 780 W, Δ: 250.55 W
✓ 收到  workloada  [process_num_70] 2025-04-19_06-44-59---workloada  826,577.76 ops/s  AvgPwr: 1021.33 W, StartPwr: 780 W, Δ: 241.33 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_06-48-58---workloadf  820,124.61 ops/s  AvgPwr: 1027.35 W, StartPwr: 780 W, Δ: 247.35 W
✓ 收到  workloada  [process_num_70] 2025-04-18_20-57-07---workloada  842,975.23 ops/s  AvgPwr: 1018.18 W, StartPwr: 804 W, Δ: 214.18 W
✓ 收到  workloada  [process_num_70] 2025-04-19_10-00-56---workloada  824,818.86 ops/s  AvgPwr: 1009.30 W, StartPwr: 92 W, Δ: 917.30 W
✓ 收到  workloada  [process_num_70] 2025-04-19_13-16-57---workloada  832,940.25 ops/s  AvgPwr: 1019.33 W, StartPwr: 780 W, Δ: 239.33 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_00-17-14---workloadf  822,064.77 ops/s  AvgPwr: 1019.68 W, StartPwr: 780 W, Δ: 239.68 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_10-04-59---workloadf  820,487.31 ops/s  AvgPwr: 1008.00 W, StartPwr: 792 W, Δ: 216.00 W
✓ 收到  workloada  [process_num_70] 2025-04-19_00-13-13---workloada  840,879.40 ops/s  AvgPwr: 1022.33 W, StartPwr: 780 W, Δ: 242.33 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_06-57-42---workloadf  854,611.62 ops/s  AvgPwr: 1022.21 W, StartPwr: 780 W, Δ: 242.21 W
✓ 收到  workloada  [process_num_80] 2025-04-19_00-21-18---workloada  875,364.69 ops/s  AvgPwr: 1011.43 W, StartPwr: 780 W, Δ: 231.43 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_13-29-44---workloadf  859,879.10 ops/s  AvgPwr: 996.24 W, StartPwr: 780 W, Δ: 216.24 W
✓ 收到  workloada  [process_num_80] 2025-04-19_10-09-02---workloada  879,348.92 ops/s  AvgPwr: 995.48 W, StartPwr: 780 W, Δ: 215.48 W
✓ 收到  workloada  [process_num_80] 2025-04-19_06-53-01---workloada  877,027.99 ops/s  AvgPwr: 1013.29 W, StartPwr: 792 W, Δ: 221.29 W
✓ 收到  workloada  [process_num_80] 2025-04-19_13-25-02---workloada  880,547.44 ops/s  AvgPwr: 987.83 W, StartPwr: 780 W, Δ: 207.83 W
✓ 收到  workloadf  [process_num_80] 2025-04-18_21-09-54---workloadf  866,407.19 ops/s  AvgPwr: 1022.27 W, StartPwr: 780 W, Δ: 242.27 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_10-13-42---workloadf  857,828.49 ops/s  AvgPwr: 1006.91 W, StartPwr: 780 W, Δ: 226.91 W
✓ 收到  workloada  [process_num_80] 2025-04-19_03-37-07---workloada  867,445.60 ops/s  AvgPwr: 1035.27 W, StartPwr: 780 W, Δ: 255.27 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_03-41-44---workloadf  853,607.02 ops/s  AvgPwr: 996.98 W, StartPwr: 780 W, Δ: 216.98 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_00-25-58---workloadf  853,604.77 ops/s  AvgPwr: 1025.68 W, StartPwr: 780 W, Δ: 245.68 W
✓ 收到  workloada  [process_num_80] 2025-04-18_21-05-12---workloada  873,860.71 ops/s  AvgPwr: 1028.62 W, StartPwr: 792 W, Δ: 236.62 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_09-37-29---workloadf  602,268.69 ops/s  AvgPwr: 979.20 W, StartPwr: 792 W, Δ: 187.20 W
✓ 收到  workloadf  [process_num_30] 2025-04-18_23-49-42---workloadf  601,800.38 ops/s  AvgPwr: 981.71 W, StartPwr: 780 W, Δ: 201.71 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_12-53-37---workloadf  609,016.72 ops/s  AvgPwr: 969.27 W, StartPwr: 792 W, Δ: 177.27 W
✓ 收到  workloada  [process_num_30] 2025-04-18_20-30-53---workloada  626,961.40 ops/s  AvgPwr: 974.86 W, StartPwr: 792 W, Δ: 182.86 W
✓ 收到  workloadf  [process_num_30] 2025-04-22_18-41-34---workloadf  605,074.10 ops/s  AvgPwr: 993.71 W, StartPwr: 828 W, Δ: 165.71 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_03-05-35---workloadf  593,201.24 ops/s  AvgPwr: 972.00 W, StartPwr: 792 W, Δ: 180.00 W
✓ 收到  workloada  [process_num_30] 2025-04-19_12-50-47---workloada  619,536.56 ops/s  AvgPwr: 978.86 W, StartPwr: 792 W, Δ: 186.86 W
✓ 收到  workloada  [process_num_30] 2025-04-19_03-02-46---workloada  621,686.48 ops/s  AvgPwr: 965.40 W, StartPwr: 780 W, Δ: 185.40 W
✓ 收到  workloada  [process_num_30] 2025-04-18_23-46-52---workloada  620,808.46 ops/s  AvgPwr: 972.60 W, StartPwr: 780 W, Δ: 192.60 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_06-21-31---workloadf  602,209.16 ops/s  AvgPwr: 966.86 W, StartPwr: 780 W, Δ: 186.86 W
✓ 收到  workloadf  [process_num_30] 2025-04-18_20-33-41---workloadf  603,122.78 ops/s  AvgPwr: 993.71 W, StartPwr: 792 W, Δ: 201.71 W
✓ 收到  workloada  [process_num_30] 2025-04-22_18-38-42---workloada  623,521.65 ops/s  AvgPwr: 993.14 W, StartPwr: 828 W, Δ: 165.14 W
✓ 收到  workloada  [process_num_30] 2025-04-19_09-34-39---workloada  626,319.75 ops/s  AvgPwr: 970.74 W, StartPwr: 792 W, Δ: 178.74 W
✓ 收到  workloadf  [process_num_30] 2025-04-22_18-03-58---workloadf  481,997.33 ops/s  AvgPwr: 944.14 W, StartPwr: 828 W, Δ: 116.14 W
✓ 收到  workloada  [process_num_30] 2025-04-22_18-00-50---workloada  494,722.37 ops/s  AvgPwr: 940.00 W, StartPwr: 828 W, Δ: 112.00 W
✓ 收到  workloada  [process_num_30] 2025-04-19_06-18-40---workloada  629,044.35 ops/s  AvgPwr: 970.80 W, StartPwr: 792 W, Δ: 178.80 W
✓ 收到  workloada  [process_num_20] 2025-04-18_23-41-32---workloada  477,474.55 ops/s  AvgPwr: 940.50 W, StartPwr: 780 W, Δ: 160.50 W
✓ 收到  workloada  [process_num_20] 2025-04-22_18-31-14---workloada  480,787.21 ops/s  AvgPwr: 958.67 W, StartPwr: 828 W, Δ: 130.67 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_06-15-59---workloadf  465,561.84 ops/s  AvgPwr: 920.84 W, StartPwr: 780 W, Δ: 140.84 W
✓ 收到  workloada  [process_num_20] 2025-04-19_12-45-26---workloada  482,359.80 ops/s  AvgPwr: 924.71 W, StartPwr: 780 W, Δ: 144.71 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_09-31-58---workloadf  456,731.37 ops/s  AvgPwr: 934.59 W, StartPwr: 780 W, Δ: 154.59 W
✓ 收到  workloada  [process_num_20] 2025-04-18_20-25-33---workloada  486,327.90 ops/s  AvgPwr: 936.00 W, StartPwr: 792 W, Δ: 144.00 W
✓ 收到  workloada  [process_num_20] 2025-04-19_06-13-20---workloada  477,954.83 ops/s  AvgPwr: 922.00 W, StartPwr: 780 W, Δ: 142.00 W
✓ 收到  workloadf  [process_num_20] 2025-04-18_20-28-12---workloadf  461,253.53 ops/s  AvgPwr: 938.67 W, StartPwr: 792 W, Δ: 146.67 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_12-48-05---workloadf  453,913.22 ops/s  AvgPwr: 933.47 W, StartPwr: 780 W, Δ: 153.47 W
✓ 收到  workloadf  [process_num_20] 2025-04-19_03-00-04---workloadf  455,308.95 ops/s  AvgPwr: 936.67 W, StartPwr: 780 W, Δ: 156.67 W
✓ 收到  workloadf  [process_num_20] 2025-04-22_18-33-54---workloadf  458,837.15 ops/s  AvgPwr: 990.35 W, StartPwr: 816 W, Δ: 174.35 W
✓ 收到  workloadf  [process_num_20] 2025-04-18_23-44-10---workloadf  455,571.71 ops/s  AvgPwr: 945.88 W, StartPwr: 780 W, Δ: 165.88 W
