✓ 收到  workloada  [process_num_70] 2025-04-19_05-41-31---workloada  722,544.53 ops/s  AvgPwr: 1028.20 W, StartPwr: 780 W, Δ: 248.20 W
✓ 收到  workloadf  [process_num_70] 2025-04-18_23-14-10---workloadf  702,932.53 ops/s  AvgPwr: 1014.86 W, StartPwr: 792 W, Δ: 222.86 W
✓ 收到  workloada  [process_num_70] 2025-04-18_23-10-05---workloada  724,830.86 ops/s  AvgPwr: 1012.68 W, StartPwr: 780 W, Δ: 232.68 W
✓ 收到  workloada  [process_num_70] 2025-04-19_02-25-38---workloada  725,517.89 ops/s  AvgPwr: 1008.86 W, StartPwr: 780 W, Δ: 228.86 W
✓ 收到  workloada  [process_num_70] 2025-04-18_19-53-45---workloada  722,479.26 ops/s  AvgPwr: 1016.92 W, StartPwr: 792 W, Δ: 224.92 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_05-45-36---workloadf  705,511.39 ops/s  AvgPwr: 1010.00 W, StartPwr: 780 W, Δ: 230.00 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_02-29-44---workloadf  704,377.67 ops/s  AvgPwr: 1015.02 W, StartPwr: 780 W, Δ: 235.02 W
✓ 收到  workloada  [process_num_70] 2025-04-19_12-13-38---workloada  720,904.49 ops/s  AvgPwr: 1017.30 W, StartPwr: 780 W, Δ: 237.30 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_12-17-44---workloadf  697,873.67 ops/s  AvgPwr: 1004.78 W, StartPwr: 780 W, Δ: 224.78 W
✓ 收到  workloada  [process_num_80] 2025-04-18_20-02-10---workloada  776,160.95 ops/s  AvgPwr: 1018.00 W, StartPwr: 780 W, Δ: 238.00 W
✓ 收到  workloada  [process_num_80] 2025-04-19_05-49-53---workloada  772,038.39 ops/s  AvgPwr: 1008.00 W, StartPwr: 780 W, Δ: 228.00 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_02-38-28---workloadf  758,066.73 ops/s  AvgPwr: 1013.02 W, StartPwr: 780 W, Δ: 233.02 W
✓ 收到  workloada  [process_num_80] 2025-04-19_02-33-59---workloada  777,214.25 ops/s  AvgPwr: 993.00 W, StartPwr: 780 W, Δ: 213.00 W
✓ 收到  workloada  [process_num_80] 2025-04-19_12-22-02---workloada  776,477.17 ops/s  AvgPwr: 1024.00 W, StartPwr: 780 W, Δ: 244.00 W
✓ 收到  workloada  [process_num_80] 2025-04-18_23-18-17---workloada  774,120.53 ops/s  AvgPwr: 1017.95 W, StartPwr: 780 W, Δ: 237.95 W
✓ 收到  workloada  [process_num_80] 2025-04-19_09-05-54---workloada  772,934.03 ops/s  AvgPwr: 1007.43 W, StartPwr: 780 W, Δ: 227.43 W
✓ 收到  workloadf  [process_num_80] 2025-04-18_23-22-40---workloadf  754,632.97 ops/s  AvgPwr: 1015.43 W, StartPwr: 780 W, Δ: 235.43 W
